epoch,acc,loss,val_acc,val_loss
0,0.89652,0.354801845579,0.934,0.225072933921
1,0.94258,0.193001226125,0.9546,0.156643897632
2,0.958040000019,0.138235237236,0.9668,0.114825858457
3,0.966480000019,0.107646793959,0.9667,0.111139553386
4,0.97374,0.0855997141647,0.967,0.113127496678
5,0.977200000038,0.0721169746399,0.9713,0.0935908642286
6,0.981579999962,0.0596945189786,0.972,0.0892930238094
7,0.984580000038,0.0500450185621,0.9755,0.0846007243949
8,0.986,0.0429281272191,0.9732,0.0907810666776
9,0.989020000019,0.0351987585032,0.9738,0.0909141392615
10,0.991240000019,0.0285511907196,0.9773,0.0826451590688
11,0.99254,0.025065483458,0.9771,0.0807949089918
12,0.99378,0.0210614443502,0.9778,0.0771612633562
13,0.995720000019,0.016349532513,0.9797,0.0756735548013
14,0.9963,0.0136530400753,0.9781,0.0753023682267
15,0.99762,0.0101074040833,0.9803,0.0753122710697
16,0.998280000019,0.00832246554717,0.9811,0.0722282831759
17,0.99874,0.00650904991969,0.9798,0.0791246552864
18,0.99918,0.00545910655737,0.9813,0.074636537072
19,0.99934,0.00404870006882,0.9797,0.0805440961775
20,0.99956,0.00376008538172,0.9813,0.0785091670211
21,0.99976,0.00250592429943,0.9797,0.0827982359071
22,0.9997,0.00223958072005,0.9826,0.0784542231697
