epoch,acc,loss,val_acc,val_loss
0,0.930000000038,0.229186034584,0.9623,0.127028656489
1,0.968879999962,0.0982837833953,0.9665,0.114949056533
2,0.980639999962,0.0602958820426,0.9715,0.0939392902743
3,0.988740000019,0.0348314635497,0.9708,0.106054485002
4,0.994380000019,0.0172317666773,0.9767,0.0858595460799
5,0.99742,0.00907747516602,0.978,0.08297934862
6,0.9992,0.00391921503212,0.9794,0.0871873282589
7,0.99994,0.000914449236689,0.9808,0.0806399140456
8,1.0,0.000282973251287,0.9806,0.0822413631274
9,1.0,0.000199658204983,0.9808,0.0827186760748
10,1.0,0.000166145155616,0.9809,0.0833117221545
11,1.0,0.000144207870695,0.9807,0.0838054878931
12,1.0,0.000128072718646,0.981,0.0843210364659
13,1.0,0.000115404417112,0.9815,0.0846892441019
